Category,Question,Answer
Lisansüstü Öğrenci İşleri,Mezuniyet törenleri ne zaman yapılır ve kimler katılabilir?, Mezuniyet töreninin düzenlendiği akademik yıl içerisinde mezun olma hakkı kazanan öğrencilerimiz katılabilirler. Mezuniyet törenleri her akademik yıl sonunda santralistanbul Kampüsü’nde yapılır ve düzenlenme tarihi 1 ay önceden sizlere bildirilir.
Lisansüstü Öğrenci İşleri,Ek ücret ödemelerinin yapılacağı hesap bilgileri nelerdir?, EFT / Havale Yolu ile Nakit Ödemelerde Banka Hesap Numarası: Garanti Bankası Çağlayan Şubesi 6295673 IBAN NO: TR96 0006 2000 4030 0006 2956 73 Alıcı : İstanbul Bilgi Üniversitesi
Lisansüstü Öğrenci İşleri,Kredi kartı ile ödemelerde hangi anlaşmalı kartlar geçerlidir?," Bonus, Shop & Miles, Flexi, Maximum, Cardfinans, Worldcard, Axess, Wings ve Fish"
Lisansüstü Öğrenci İşleri,Ek ders almanın mali yükümlülüğü var mıdır?, Ek ders almak istediğiniz takdirde ders başı ücret ödemeniz gerekir. Ücretler programa ve yıla göre değişiklik gösterebilir.
Lisansüstü Öğrenci İşleri,Bir dersten F aldım; bunun için ücret ödeyecek miyim?, Başarısız olunan ders için ödeme durumu sadece burslu öğrencilerimiz için geçerlidir. Dersten başarısız olmanız durumunda (0 kredilik dersler ve tez/proje dahil) kredi bedelini burs oranı kadar ödemek gerekmektedir.
Lisansüstü Öğrenci İşleri,Öğrenci kimliğimi kaybettim. Nasıl yenileyebilirim?, Lisansüstü Öğrenci İşleri Ofisi ile iletişime geçerek yeni kimlik kartı talebinde bulunabilirsiniz.
Lisansüstü Öğrenci İşleri,İETT indirimli seyahat kartı /Paso almak için neler yapmalıyım?, İETT’nin sayfasından online olarak bireysel başvuru yapabilirsiniz. 
Lisansüstü Öğrenci İşleri,Talep ettiğim belgeleri ne zaman alabilirim?," Not dökümünü (transcript) başvuru tarihinden 2 (iki) iş günü sonra, diğer belgeleri ise talep edilen tarihten 1(bir) iş günü sonra öğrenci sayfanızdaki e-imzalı belgelerim kısmından indirebilirsiniz."
Lisansüstü Öğrenci İşleri,"Adres, telefon, vb. bilgilerimde nasıl değişiklik yapabilirim?", Öğrenci Sayfaları’ndan https://sis.bilgi.edu.tr adres ve iletişim bilgileri değişikliği yapabilirsiniz.
Lisansüstü Öğrenci İşleri,"Almakla yükümlü olduğum kredileri, müfredatı nereden görebilirim?", Öğrenci Sayfaları’ndaki “Academic Information” kısmından öğrenebilirsiniz.
Lisansüstü Öğrenci İşleri,Derslerin içerikleri hakkında nereden bilgi alabilirim?, Öğrenci Sayfaları’ndaki “Course Catalog” kısmından veya programdaki ilgili kişilerden bilgi alabilirsiniz.
Lisansüstü Öğrenci İşleri,Derslere devam zorunluluğu var mı?, Derslere %70 oranında devam zorunluluğu bulunmaktadır.
Lisansüstü Öğrenci İşleri,"Aldığım bir dersten başarısız olursam, ne yapmalıyım?", Başarısız olunan ders zorunlu ders ise aynı ders ile seçmeli ders ise aynı ders veya başka bir ders ile bir sonraki akademik yıl için tekrar edilmek zorundadır. Dersin notuna itiraz için dersin öğretim görevlisi ile iletişime geçilmelidir.
Lisansüstü Öğrenci İşleri,Daha önceden aldığım ve başarılı olduğum bir dersi tekrar edebilir miyim?," Mezun olmak için 2,80 not ortalamasına sahip değilseniz varsa C+ (koşullu geçer) dersinizi tekrar alabilirsiniz. Daha fazla kredi yüküyle mezun olmak isterseniz, ders başına ücret ödemeniz gerekir."
Lisansüstü Öğrenci İşleri,Başka bir üniversiteden ders almam mümkün mü?, Başka bir üniversiteden ders alabilirsiniz. Alınan dersten muaf olabilmek için bölüme ve Enstitü’ ye not dökümü (transcript) ile başvurmanız gerekir.
Lisansüstü Öğrenci İşleri,Bir dersin öğretim elemanına nasıl ulaşabilirim?, Program idari asistanları aracılığıyla veya http://rehber.bilgi.edu.tr/ adresinden arama yapılarak öğretim elemanlarının iletişim bilgilerine ulaşabilirsiniz.
Lisansüstü Öğrenci İşleri,Ders kaydı nasıl yapılır?, Her yarıyıl için akademik takvimde belirtilen tarihler arasında ders kaydı yapmak zorundasınız. Ders kayıt işlemi için Öğrenci Sayfası’ nda ki  “Kayıt / Ders kayıt” menüsünden o yarıyıl alacağınız dersleri belirleyip ve seçimlerini yapıp program koordinatörü/danışmanına onaylatmanız gerekir. 
Lisansüstü Öğrenci İşleri,"Kayıt olmak istediğim derslerin saatleri çakışıyor, bu derslere kayıt olabilir miyim?", Danışmandan ve bölümden onay aldıktan sonra bu derslere kayıt yaptırmanızı öneririz.
Lisansüstü Öğrenci İşleri,Ders kaydıma nasıl onay alabilirim?," Ders kaydı sonlandırıldıktan sonra, sistem tarafından verilen  “Kayıt onay kodu” nuz program koordinatörü/danışmana otomatik olarak gönderilmektedir. Ders kaydı onaylandıktan sonra size de e-mail ile bilgi verilmektedir."
Lisansüstü Öğrenci İşleri,Farklı bir programdan ders almak için ne yapabilirim?, Seçmeli ders listesinden seçemediğiniz derse ilişkin dilekçe yazarak dersin öğretim görevlisine onaylatıp Lisansüstü Öğrenci İşleri Ofisi’ne teslim edebilirsiniz.
Lisansüstü Öğrenci İşleri,Ön koşul (prerequisite) nedir?, Ders programında yer alan bazı derslerin alınabilmesi için daha önceden alınması gereken derslerin olmasıdır.
Lisansüstü Öğrenci İşleri,Özel izin (Consent) nedir?, Bazı dersler özel bilgi birikimi gerektirebilir. Bu dersler için özel izin (consent) gerekir. İlgili dersin öğretim elemanıyla görüşerek “consent” alabilirsiniz. 
Lisansüstü Öğrenci İşleri,Bir derse önkoşulunu sağlamadan kayıt olabilir miyim?, Eğer önkoşulu sağlayamıyorsanız kayıt olmak istediğiniz dersin öğretim görevlisinden önkoşul izni (consent)  talep edebilirsiniz.
Lisansüstü Öğrenci İşleri,Add-Drop (Ders Ekleme/Bırakma) nedir?, Akademik takvimde belirtilen ders ekleme ve bırakma (add-drop) dönemi içinde program koordinatörü/danışmanlarının onayı ile Yönetmelik’te belirlenen asgari ve azami kredi sınırları içinde ders programınızda değişiklik yapabilirsiniz. Seçmiş olduğunuz dersi bırakabilir veya yeni ders alabilirsiniz.
Lisansüstü Öğrenci İşleri,Muafiyet nedir?, Lisans veya farklı bir yüksek lisans programında aldığınız bir dersin mevcut programda da var olması halinde yapılan başvurudur. Muafiyet başvurusu her yarıyılın ilk haftasında programlara iletilir. Muaf olunan derslerin yerine seçmeli ders almanız gerekmektedir. Muaf olunacak ders sayısı iki ile sınırlıdır.
Lisansüstü Öğrenci İşleri,Dersten çekilme (withdrawal) nedir?, Kayıtlı olduğunuz bir dersten akademik takvimde belirtilen tarihe kadar çekilebilirsiniz. Dersten çekilmek için Öğrenci Sayfaları’ndaki  “Dersten çekilme” linkini kullanmanız ve sistemin atadığı “security number” ile program koordinatörüne/danışmana onaylatmanız gerekir. ‘F’ alındığı için tekrarlanan dersten ve tez dersinden çekilemezsiniz.
Lisansüstü Öğrenci İşleri,Belirlenen tarihler arasında ders kaydı yapamadım; ne yapmam gerekiyor?, Geç ders kayıt talebinde bulunmak üzere ofisimizle iletişime geçebilirsiniz. Mazeretiniz kabul edildiği takdirde ders seçimi yapabilirsiniz.
Lisansüstü Öğrenci İşleri,Kayıt dondurma şartları nelerdir?, Tezli ya da tezsiz programlar için toplam dört yarıyıl süreyle kayıt dondurmak için başvurabilirsiniz. Bir defada ancak iki yarıyıl üst üste kayıt dondurabilirsiniz. Kayıt dondurmak için dönem başladıktan sonraki 7 hafta içerisinde Enstitü Yönetim Kurulu’na kayıt dondurma formu ve kayıt dondurma nedenini gösterir belge ile başvurmanız gerekir. Başvurunuz kabul edildiğinde statünüz öğrenci sayfasında ‘on hold’ olarak değişir.
Lisansüstü Öğrenci İşleri,Kayıt sildirme başvurusu nasıl yapılır?, Enstitü Yönetim Kurulu’na Mali İşler Ofisi tarafından onaylı kayıt sildirme formu ile başvuru yapabilirsiniz.
Lisansüstü Öğrenci İşleri,İç yatay geçiş nedir?," Kayıtlı olduğunuz programdan başka bir programa geçiş yapabilirsiniz. İç yatay geçiş için aşağıdaki şartlar sağlanmalıdır: - Kayıtlı bulunduğunuz programın ders ve kredi yükümlülüklerinin en az %25’inin tamamlamış olmalısınız, - En az 2.80 (Doktora için 3,20) Genel Not Ortalamasına sahip olmalısınız, - Alınan derslerinizin toplam kredisinin % 50’sinin başvurduğunuz yüksek lisans/doktora programının ders programı içeriğiyle veya konusuyla benzerlik göstermelidir, -En geç 2. dönemin sonuna kadar iç yatay geçiş başvurusunda bulunabilirsiniz. -Geçiş yaptığınız yüksek lisans/doktora programının en az %50 kredisini tamamlamakla yükümlüsünüz."
Lisansüstü Öğrenci İşleri,"Ders içerikleri, ders programı, sınav tarihleri gibi bilgilere nereden ulaşabilirim?", Kayıtlı olduğunuz derslere ait bilgilere Öğrenci Sayfaları https://sis.bilgi.edu.tr ve https://lms.bilgi.edu.tr adresinden ulaşabilirsiniz. Sınav programı ve ders programı programlar tarafından duyurulur.
Lisansüstü Öğrenci İşleri,Askerlik tecil işlemleri nasıl yapılır?," Üniversite tarafından askerlik tecilinin yapılması için kayıt sırasında güncel askerlik durumunu gösterir belge teslim etmeniz gerekmektedir. Son yoklamanın yaptırılmaması, başka bir öğretim kurumunda kayıtlı görünmek gibi nedenler olmadığı sürece tecil işlemleri için olumlu cevap alabilirsiniz. Ortalama tecil süresi tezli yüksek lisans öğrencilerimiz için 3 yıl, tezsiz yüksek lisans öğrencilerimiz için 1,5 yıl ve doktora öğrencilerimiz için 6 yıldır. Lisansüstü öğrenciler askerlik durumlarını lisansüstü öğrenci işleri ofisinden veya e-devlet üzerinden öğrenebilirler."
Lisansüstü Öğrenci İşleri,"BİLGİ Learn, SIS veya bilgiedu.net servislerine erişim şifremi unuttum; nasıl öğrenebilirim?"," Tüm servisler için ortak bir şifre kullanılmaktadır. Şifrenizi unuttuysanız; ""bilgipass"" yazıp 2322’e SMS göndererek geçici şifrenizi edinebilirsiniz.  Şifrenizi ilk kullanımda değiştirmeniz gerekmektedir. Yeni şifrenizi https://sis.bilgi.edu.tr/sisauth/ChangePassword adresine girerek oluşturabilirsiniz."
Lisansüstü Öğrenci İşleri,Sınav programımı ne zaman ve nereden görebilirim?, Sınav programı ve ders programı programlar tarafından duyurulur.
Lisansüstü Öğrenci İşleri,Sınav sonuçlarımı nasıl görürüm?," Sınav sonuçlarına sayısal olarak verilen notun harf karşılığı şeklinde Öğrenci Sayfaları'ndan erişebilirsiniz.  Henüz sınav sonucu açıklanmamış dersler  IP, başarısız olunan dersler F şeklinde görülmektedir."
Lisansüstü Öğrenci İşleri,Notlarıma nasıl itiraz edebilirim?, İlgili Program Direktörlüğü ve dersin öğretim görevlisi ile iletişime geçebilir veya ilgili Enstitü’ ye Maddi Hata İtiraz Formu ile başvurabilirsiniz.
Lisansüstü Öğrenci İşleri,Mezuniyet şartları nelerdir?," Program’a ait tüm dersleri tamamlayıp, tezi/projeyi teslim ettiğiniz ve 2,80 (doktora programları için 3,20) genel not ortalamasına sahip olduğunuz takdirde mezuniyete hak kazanırsınız."
Lisansüstü Öğrenci İşleri,Diplomamı ne zaman ve nereden alabilirim?, Diplomalar mezuniyet tarihinden itibaren en geç 2 ay içinde elektronik imzalı olarak hazırlanır. Elektronik imzalı diplomanızı Öğrenci Sayfaları'ndaki e-imzalı belgelerim kısmından indirebilirsiniz. Elektronik imzalı diplomanızı mühürlü ve basılı almak istemeniz durumunda öğrenci sayfanız üzerinden belge talebi oluşturmanız gerekmektedir. Basılı diplomanız  2 hafta içinde hazırlanır ve imza karşılığında Lisansüstü Öğrenci İşleri ofisinden teslim edilir.
Lisansüstü Öğrenci İşleri,Basılı diplomamı benim yerime başka birisi alabilir mi?," Diploma ancak, noter aracılığıyla vekalet verdiğiniz bir kişi tarafından alınabilir."
Öğrenci Konseyi,Öğrenci Konseyi’nin amacı nedir?," İstanbul Bilgi Üniversitesi’ne kayıtlı öğrencilerin eğitim, sağlık, spor ve kültürel ihtiyaçlarının karşılanması ve geliştirilmesine katkıda bulunmak, yönetim organları ile öğrenciler arasında etkili bir iletişim kurarak öğrencilerin beklenti ve isteklerini yönetim organlarına iletmek ve öğrencilerin eğitim-öğretim konusundaki kararlara katılımını sağlamak amacıyla çalışır."
Öğrenci Konseyi,Bölüm Temsilcisi olmak için ne yapmalıyım ?, Adaylık şartlarını taşıyorsanız santralistanbul Kampüsü Öğrenci Destek Merkezi Ofisi’ne ( Etkinlik Çadırı arkasındaki Konteyner )  adaylık başvurusu yaparak seçimlere katılabilirsiniz. Seçimlerde aday olduğunuzun bölümün öğrenci sayısının ( oy kullanma şartlarını sağlayan öğrenciler) %20’sinin oy kullanması ve kullanılan oyun en az %10’unun oyunu almanız durumunda bölüm temsilcisi seçilebilirsiniz. Belirtilen oy oranının sağlandığı hallerde birden fazla adayın olduğu bölümlerde en yüksek oyu alan öğrenci bölüm temsilcisi seçilir. 
Öğrenci Konseyi,Bölüm Temsilcisi olarak benden neler beklenir ?," Bölüm öğrenci temsilcisinin görevleri, seçildiği bölümle ve temsil ettiği bölüm öğrencileriyle sınırlı olmak üzere aşağıdaki gibidir: Öğrenci Konseyi çalışmalarını yürütmek, Öğrenci Konseyi organlarının aldığı kararları biriminde duyurmak ve uygulamalarını izlemek, Bölümünün öğrenci temsilcileri kurulu toplantılarına katılmak ve bu toplantılarda öğrencileri temsil etmek, Öğrencilerin sorunlarını belirlemek ve bunları Öğrenci Konseyine ve Üniversitenin ilgili akademik ve idari birimlerine iletmek, Öğrencileri öğrenci etkinliklerinde temsil etmek, Öğrenciler ile Üniversitenin akademik ve idari birimleri arasında iletişimi geliştirmek, Öğrenci etkinliklerini koordine etmek, İlgili bölüm başkanlığı, fakülte dekanlığı veya yüksekokul, meslek yüksekokulu, enstitü müdürlüğünün veya Rektörlüğün daveti üzerine, öğrencilerle ilgili konuların görüşüleceği toplantılara katılmak."
Öğrenci Konseyi,Aday olmak için hangi şartları taşımalıyım ?," Adaylarda seçilme yeterliliği için aşağıdaki koşulların olması gerekir: İlgili bölümün yürüttüğü bir önlisans, lisans veya lisansüstü programın veya İngilizce Dil Hazırlık Programının kayıtlı öğrencisi olması ve İngilizce Dil Hazırlık Programı, önlisans ve lisans öğrencileri bakımından İstanbul Bilgi Üniversitesi Kredili Sistem Lisans ve Önlisans Öğretim ve Sınav Yönetmeliği, lisansüstü öğrenciler bakımından ise İstanbul Bilgi Üniversitesi Lisansüstü Eğitim ve Öğretim Yönetmeliği kapsamında öğrencilik haklarından yararlanıyor olması: Özel öğrenciler, değisim programı kapsamında Üniversitede öğrenim görenler ve denklik öğrencileri aday olamazlar; yandal öğrencileri yandal yaptıkları bölümün öğrenci temsilciliği için aday olamazlar; çift anadal öğrencileri veya birden çok programda öğrenci olanlar sadece bir bölümün öğrenci temsilciliği için aday olabilirler. Normal öğrenim süresini doldurmamış olması. Aldığı dersler ve bölüm müfredatı dikkate alındığında, seçimin yapılacağı yarıyıl sonunda mezun olma olasılığının bulunmaması. Seçimin yapıldığı yarıyılda kayıt dondurmamış veya izin almamış olması. Uzaklastırma disiplin cezası almamış olması. Akademik başarı durumu bakımından genel not ortalamasının, önlisans veya lisans öğrencisiyse (2,00), yüksek lisans öğrencisiyse (2,80), doktora öğrencisiyse (3,20) olması: İngilizce Dil Hazırlık Programı öğrenci temsilciliği adaylığında ve fiili öğreniminin ilk yarıyılında olan adaylarda genel not ortalaması koşulu aranmaz. Siyasi parti organlarında üye veya görevli olmaması."
Öğrenci Konseyi,Seçimler kaç yılda bir yapılır ?," Öğrenci Konseyi seçimleri iki yılda bir yapılır.Seçimler Yükseköğretim Kurulu’nun belirleyeceği bir takvim, süre ve program esas alınarak Seçim Kurulu tarafından belirlenip ilan edilen seçim takvimi çerçevesinde yürütülür."
Öğrenci Konseyi,Seçimler nasıl yapılır ?," Oy hakkı gizli olarak ve Seçim Kurulu tarafından belirlenen şekilde kullanılır. Oylama elektronik olarak aşağıdaki gibi yapılmaktadır: Elektronik seçimler öğrenci sayfası (SIS) üzerinden yapılır. Sayfadaki “ Oy kullan” veya “ “Boş Oy” butonuna basılarak oy verme işlemi tamamlanır. Oy kullanma süresi 72 saattir. SIS sayfasından öğrenci şifreleriyle giriş yapıldıktan sonra ana sayfada yer alan “ Oy kullan” butonuna basılır. Oy kullanma sayfasına kimlik no ile girilir.  ( TC vatandaşları TC Kimlik No, yabancı öğrenciler ise pasaport no ile)"
Öğrenci Konseyi,Seçimlerde kimler oy kullanabilir ?," Seçmen listeleri Öğrenci İşleri Müdürlüğü tarafından hazırlanır ve Seçim Kurulu tarafından onaylanarak ilan edilir. Oy kullanabilme kriterleri aşağıdaki gibidir: Özel öğrenciler, yandal öğrencileri ve denklik öğrencileri hariç olmak üzere; ilgili bölümün yürüttüğü bir önlisans, lisans veya lisansüstü programın kayıtlı öğrencisi olup öğrencilik haklarında yararlananların oy hakkı vardır. Çift anadal öğrencileri hem esas anadal hem de çift anadal bölümleri seçimlerinde oy kullanabilirler. Özel öğrencilerin ve denklik öğrencilerinin oy hakkı yoktur. Yandal öğrencilerinin yandal öğrenimi gördükleri bölümün öğrenci temsilciliği seçiminde oy hakkı yoktur. Seçimin yapıldığı yarıyılda kayıt dondurmuş, seçim günlerini kapsayan şekilde izin almış veya mazeretli sayılmış veya bunlar için basvurmuş öğrenciler ile seçim günlerini kapsayan uzaklaştırma cezası bulunan öğrenciler oy kullanamaz."
Öğrenci Konseyi,Konsey başkanı nasıl seçilir ?," Fakülte, Yüksekokul, Meslek Yüksekokulu ve Enstitü temsilcileri ile İngilizce Dil Hazırlık Programı öğrenci temsilcileri Öğrenci Konseyi Genel Kurulu’nu oluşturur. Öğrenci Konseyi Genel Kurulu üyeleri de kendi aralarından Öğrenci Konseyi Başkanını seçer."
Öğrenci Kulüpleri,Üniversitemizde kaç öğrenci kulübü var?," “ Akademik İçerikli, Fikir, Spor ve Sanat İçerikli, Sosyal Sorumluluk ve Hobi” kategorileri altında 100’ün üzerinde öğrenci kulübü faaliyet göstermektedir."
Öğrenci Kulüpleri,Bir kulübe nasıl üye olabilirim?, Kulüp tanıtım günlerinde kurulan kulüp stantlarına başvurabilir veya web sayfamızdaki sorumlu kişilere mail göndererek her zaman ulaşabilirsiniz.
Öğrenci Kulüpleri,Birden fazla kulübe üye olabilir miyim?," Kulüp üyeliği için bir sınırlama olmayıp, istediğiniz sayıda kulübe üye olabilirsiniz."
Öğrenci Kulüpleri,Yeni bir kulüp nasıl kurabilirim?," Her akademik yılın başında Kulüpler Koordinatörlüğü’ne başvurularak, aktif olan kulüp listesine ulaşabilir; sizin ilgi alanınızda aktif bir kulüp olmaması durumunda “Kulüp Tüzüğü” doldurup, en az 10 üye imzası ile başvuru yapabilirsiniz."
Öğrenci Kulüpleri,Kulüp olarak kampüste stant açmak için ne yapmalıyız?, Kulüpler Koordinatörlüğü ile temasa geçerek detaylı bilgi alabilirsiniz.
Öğrenci Kulüpleri,Kulüp olarak kampüste etkinlik düzenlemek istersek ne yapmalıyız?," Etkinlikten en az 15 gün önce Kulüpler Koordinatörlüğü ile temasa geçilerek yer, tarih ve amacınızı bildiren “etkinlik formu” doldurmanız ve onay almanız yeterlidir."
Öğrenci Kulüpleri,Kulüp olarak kampüs dışında etkinlik düzenlemek için ne yapmalıyız?," Kampüs dışı etkinlikler için de etkinlikten en az 15 gün önce Kulüpler Koordinatörlüğü ile temasa geçilerek yer, tarih ve amacınızı bildiren “Etkinlik Formu” doldurmanız ve onay almanız yeterlidir."
Öğrenci Kulüpleri,Etkinliğimiz için sponsor alabilir miyiz?, Üniversitemiz ve öğrencilerimize fayda sağlayabilecek yasal şartları uygun kurum ve kuruluşlardan sponsor alabilirsiniz. Etkinlik öncesi hazırlayacağınız Sponsorluk dosyasını Kulüpler Koordinatörlüğü’ne onaylatmanız gerekmektedir.
Öğrenci Kulüpleri,Öğrenci kulüplerine sağlanan imkanlar nelerdir?," Kulüpler akademik yılın başında hazırlayıp sunacakları faaliyet planına göre maddi ve manevi olarak desteklenir. Tanıtım yapma, üye kaydetme, etkinlik yapma, ulaşım ve konaklama sağlama olanaklarına sahiptir."
Psikolojik Danışmanlık,Psikolojik Danışmanlık Birimi’nin hizmetleri ücretli mi?, Psikolojik Danışmanlık Birimi’nin tüm çalışmaları yalnızca İstanbul Bilgi Üniversitesi öğrenci ve personeline açık ve ücretsizdir.
Psikolojik Danışmanlık,Psikolojik Danışmanlık Birimi’nden nasıl randevu alabilirim?," Psikolojik Danışmanlık Birimi, acil durumlar dışında randevu ile çalışır. Randevu almak için web sayfasındaki Başvuru Formu'nu doldurup e-posta eki olarak ya da elden bize ulaştırabilirsiniz. Acil durumlarda mesai saatleri içinde doğrudan PDB ofislerine gelmeniz, mesai saatleri dışında en yakın sağlık kuruluşuna ulaşmanız önerilir. Ayrıntılı bilgi için; http://www.bilgi.edu.tr/tr/bilgide-yasam/saglik-hizmetleri/psikolojik-danismanlik/giris/?psikolojik-danismanlik-menu"
Psikolojik Danışmanlık,Psikolojik Danışmanlık Birimi’nde anlatacaklarım başkaları ile paylaşılır mı?," Psikolojik Danışmanlık Birimi’nde, kişisel bilgiler ve görüşme içerikleri, siz izin vermediğiniz sürece, kesinlikle kimseyle paylaşılmaz. Ancak, sizin veya bir başkasının zarar görmesi ya da hayati tehlike altında olması durumunda gerekli kişilerle temasa geçilebilir. Bu koşullar altında dahi, başka birisi aranmadan önce sizden onay alınmaya çalışılır."
Psikolojik Danışmanlık,"BİLGİ mezunuyum, Psikolojik Danışmanlık Birimi’nden yararlanabilir miyim?"," Mezunlarımız Psikolojik Danışmanlık Birimi’nin bireysel görüşme hizmetinden ve grup çalışmalarından faydalanamazlar, ancak güvenilir ve uygun ücretli yardım kaynaklarına yönlendirme desteği verebiliriz."
Spor,Kuştepe Spor Salon'nun programına nereden ulaşabilirim?, 0212-3116366 no’lu telefondan Spor Birimi sorumlusu Aslı Ertunç’tan ulaşabilirsiniz.
Spor,Kuştepe Spor Salonunu nasıl kullanabilirim?," Salonumuz Pazar günü hariç olmak üzere, hafta içi 08.30-21.00, Cumartesi günleri ise 08.30-15.00 arasında hizmet vermektedir. Spor Birimi sorumlusu Aslı Ertunç’tan e-mail veya telefon ile randevu alabilirsiniz. (asli.ertunc@bilgi.edu.tr / 0212-311 6256)"
Spor,Kuştepe Spor Salonu'nu rezerve ederken nelere dikkat etmeliyim?, Rezervasyonlar saat 17.00 den sonraki kullanımlar için gereklidir. Almış olduğunuz randevulara mazeretsiz olarak gelmemeniz halinde tekrar rezervasyon yapılamayacağını hatırlamak isteriz.
Spor,Spor tesislerimizin imkanları nelerdir?," Kuştepe Kampüsü’ndeki Spor Salonu’nda basketbol, voleybol, hentbol ve masa tenisi oynayabilir, fitness aletlerini ücretsiz kullanabilirsiniz. Spor Birimi’nden randevu almanız gerekiyor. Dolapdere Kampüsü’nde bulunan ve özel bir işletmeye ait olan yarı-olimpik havuz ve fitness salonundan üyelik sistemi ile indirimli ücretle faydalanabilirsiniz."
Spor,Dolapdere yüzme havuzu ve fitness salonu kullanım koşulları nelerdir?, 0212-3115477 no’lu telefondan bilgi alabilirsiniz.
Spor,Spor Salonu'ndan ödünç malzeme alabilir miyim?, Spor Salonu'muzdan ödünç malzeme verilmemektedir.
Spor,BİLGİ'de hangi spor takımları var?," Türkiye Üniversite Sporları Federasyonu’na bağlı ve başarılı faaliyetler gösteren kadın voleybol, yüzme, masa tenisi, tenis, Amerikan futbolu, triatlon, yelken, kayak- snowboard, futbol, salon futbolu, frizbi, ragbi, flag futbol, kürek, sutopu takımlarımız bulunmaktadır."
Spor,Spor takımları seçmeleri ne zaman olur?," Her akademik yılın başında, dersler başladıktan sonra ilk 1 ay içinde ihtiyaç duyulan branşlarda seçmeler yapılır ve duyuruları tüm kampüslerde asılır, web sayfasından duyurulur."
Spor,Spor takımlarında kimler yer alabilir?, Spor yapmaya elverişli ve takımlarımızın yer aldığı ligde oynayabilecek düzeyde sporcular takımlara katılabilirler.
Spor,Spor bursu almanın şartları nelerdir?," İstanbul Bilgi Üniversitesi’nin üniversitelerarası müsabakalara katılım sağladığı branşlarda milli takım seviyesine yükselmiş veya milli olmasa bile üniversite takımına seçildikten sonra yüksek performans göstermiş olan öğrencilere, Spor Koordinatörlüğü’nün teklifi ve Burs Komitesi’nin tespit edeceği oranlarda karşılıksız ‘sporcu bursu’ verilebilir. Bursun verilmesindeki esas, söz konusu öğrencinin eğitim başarısı öncelikli olmak üzere, kendi branşındaki üniversite takımında İstanbul Bilgi Üniversitesi’ni temsil etmesidir. Burs verilecek branşlar, Spor Birimi’nin görüşü alınarak, Burs Komitesi tarafından belirlenir. Sporcu bursu İngilizce Hazırlık Programı'nda 2 yıl ( Öğrenim dili ingilizce olan programlar için geçerlidir), lisans programlarında 4 yıl, önlisans programlarında 2 yıl geçerlidir ve Yaz Okulu'nu kapsamaz. Not ortalaması 2.00 altına düşerse kesilir."
Uluslararası Fırsatlar,Eğitim dili olarak hangi dil kullanılır?," Hukuk Fakültesi,Adalet Meslek Yüksekokulu, Sağlık Bilimleri Meslek Yüksekokulu dışında, İstanbul Bilgi Üniversitesi eğitim dili İngilizcedir."
Uluslararası Fırsatlar,Lisans programının süresi nedir?, Lisans programının süresi İngilizce hazırlık sınıfı (gerek duyulması halinde) hariç 4 akademik yıldır.
Uluslararası Fırsatlar,Yüksek Lisans programının süresi nedir?," Yüksek Lisans programının süresi İngilizce hazırlık sınıfı (gerek duyulması halinde) hariç, 3 ila 6 akademik yarıyıldır."
Uluslararası Fırsatlar,Uluslararası Öğrenci Durumundan yararlanabildiğimi nasıl doğrulayabilirim?," Türk Yüksek Öğretim Kurulu (YÖK) web sayfasına ek olarak, ek bilgiler burada detaylandırılabilir."
Uluslararası Fırsatlar,Uluslararası Öğrenci çalışabilir mi?, Uluslararası Öğrenciler mevcut mevzuatlar gereği kampüs içinde / dışında istihdam edilemez.
Uluslararası Fırsatlar,Lise diploması denklik mektubunu nasıl alınır ?, Ek ayrıntılar İl Eğitim Müdürlüğü web sayfasında bulunabilir.
Uluslararası Fırsatlar,Öğrenim Vizesi nasıl alınır?, Uluslararası Öğrenciler kendi ülkelerinde bulunan en yakın Türk Büyükelçiliği / Konsolosluğuna başvurarak 'Öğrenim Vizesi ' prosedürü ve işlem süresi ile ilgili bilgi alabilirler.
Uluslararası Fırsatlar,İkamet izni nasıl alınır?," Kayıt tamamlandıktan sonra, uluslararası öğrenci Türkiye'de geldikten ve 30 gün içinde 'ikamet izni' başvurusu yapmalıdır. Randevu online olarak Emniyet Müdürlüğü Yabancılar Şube Müdürlüğü web sayfasından alınabilir. Detaylar kayıt sırasında sağlanacaktır."
Uluslararası Fırsatlar,İstanbul Bilgi Üniversitesinde konaklama var mı?," Evet, İstanbul Bilgi Üniversitesi, burada ayrıntıları verildiği gibi konaklama sağlar."
